"routeid","vehicleid","t1","lon1","lat1","t2","lon2","lat2","bear","tdiff"
1054553,39174,2017-07-21 02:28:50,24.00842,49.8386466,2017-07-21 02:29:51,24.0026066,49.8368683,244.627602972674,61
1054553,39174,2017-07-21 02:29:51,24.0026066,49.8368683,2017-07-21 02:30:55,24.0004516,49.8375133,294.895170432017,64
1054553,39174,2017-07-21 02:30:55,24.0004516,49.8375133,2017-07-21 02:31:51,23.9957616,49.83925,299.8642689523,56
1054553,39174,2017-07-21 02:31:51,23.9957616,49.83925,2017-07-21 02:32:51,23.9942383,49.8386333,237.88301285116,60
1054553,39174,2017-07-21 02:32:51,23.9942383,49.8386333,2017-07-21 02:33:51,23.9945433,49.83851,122.080122021635,60
1054553,39174,2017-07-21 02:33:51,23.9945433,49.83851,2017-07-21 02:34:51,23.9945433,49.83851,0,60
1054553,39174,2017-07-21 02:34:51,23.9945433,49.83851,2017-07-21 02:35:51,23.9945433,49.83851,0,60
1054553,39174,2017-07-21 02:35:51,23.9945433,49.83851,2017-07-21 02:36:51,23.9945433,49.83851,0,60
1054553,39174,2017-07-21 02:36:51,23.9945433,49.83851,2017-07-21 02:37:51,23.9945433,49.83851,0,60
1054553,39174,2017-07-21 02:37:51,23.9945433,49.83851,2017-07-21 02:38:51,23.9945433,49.83851,0,60
1054553,39174,2017-07-21 02:38:51,23.9945433,49.83851,2017-07-21 02:39:51,23.9945433,49.83851,0,60
1054553,39174,2017-07-21 02:39:51,23.9945433,49.83851,2017-07-21 02:40:51,23.9945433,49.83851,0,60
1054553,39174,2017-07-21 02:40:51,23.9945433,49.83851,2017-07-21 02:41:51,23.9945433,49.83851,0,60
1054553,39174,2017-07-21 02:41:51,23.9945433,49.83851,2017-07-21 02:42:51,23.9945433,49.83851,0,60
1054553,39174,2017-07-21 02:47:51,23.9955833,49.83887,2017-07-21 02:48:51,23.9957116,49.8389316,53.3341165449366,60
1054553,39174,2017-07-21 02:48:51,23.9957116,49.8389316,2017-07-21 02:49:51,23.9970333,49.8386933,105.618248933741,60
1054553,39174,2017-07-21 02:55:51,24.0183333,49.8426649,2017-07-21 02:56:51,24.0207683,49.8429783,78.7122873712508,60
1054553,39174,2017-07-21 02:56:51,24.0207683,49.8429783,2017-07-21 02:57:50,24.0256283,49.8444233,65.2456745254917,59
1054553,39174,2017-07-21 03:01:51,24.0269833,49.8417216,2017-07-21 03:02:50,24.0275066,49.8409883,155.286960402813,59
1054553,39174,2017-07-21 03:02:50,24.0275066,49.8409883,2017-07-21 03:03:51,24.0282183,49.840015,154.752146431626,61
1054553,39174,2017-07-21 03:03:51,24.0282183,49.840015,2017-07-21 03:04:51,24.0326933,49.839215,105.491375640564,60
1054553,39174,2017-07-21 03:08:51,24.0349416,49.8325,2017-07-21 03:09:51,24.0336816,49.8282566,190.843396451667,60
1054553,39174,2017-07-21 03:09:51,24.0336816,49.8282566,2017-07-21 03:10:51,24.0333516,49.82386,182.772261797578,60
1054553,39174,2017-07-21 03:10:51,24.0333516,49.82386,2017-07-21 03:11:51,24.03038,49.82201,226.022084425089,60
1054553,39174,2017-07-21 03:11:51,24.03038,49.82201,2017-07-21 03:12:51,24.0252316,49.8184566,223.071628683197,60
1054553,39174,2017-07-21 03:12:51,24.0252316,49.8184566,2017-07-21 03:13:51,24.0269716,49.8166533,148.093983029715,60
1054553,39174,2017-07-21 03:13:51,24.0269716,49.8166533,2017-07-21 03:14:51,24.034835,49.8142183,115.63378572512,60
1054553,39174,2017-07-21 03:14:51,24.034835,49.8142183,2017-07-21 03:15:51,24.038835,49.8128066,118.674273670412,60
1054553,39174,2017-07-21 03:15:51,24.038835,49.8128066,2017-07-21 03:16:51,24.04548,49.81055,117.75329428336,60
